//1	2	1	1	0	0	0	0
//TPB in polystyrene absorption length obtained from
//Francini2013 Fig. 20  https://doi.org/10.1088/1748-0221/8/09/P09006
//Absorption probability W was calculated using reflectance and transmittance as
//W = (1 - T - R)/(1 - R)
//Then it is assumed that W = 1 - exp(-L/absorption_length),
//where L is TBP thickness. L in Francini2013 was taken to be the
//same as in out detector which is ~0.4 mm (see Borisova's dissertation)
//Wavelength [nm]	Absorption length [mm]
308.508508508509	0.168192985839721
308.858858858859	0.16643334359243
309.209209209209	0.164656634182907
309.55955955956	0.162865231936438
309.90990990991	0.161060868289492
310.26026026026	0.159245246967771
310.610610610611	0.157420064953894
310.960960960961	0.155587017528934
311.311311311311	0.153747803937155
311.661661661662	0.151904133738083
312.012012012012	0.150057733918079
312.362362362362	0.148210356841974
312.712712712713	0.146363789134024
313.063063063063	0.144519861586052
313.413413413413	0.142680460198732
313.763763763764	0.140847538468903
314.114114114114	0.139023131040588
314.464464464464	0.137209368838776
314.814814814815	0.135408495801181
315.165165165165	0.133622887311782
315.515515515516	0.131855070417788
315.865865865866	0.130107745874764
316.216216216216	0.128383812007884
316.566566566567	0.126686390294378
316.916916916917	0.125018852455811
317.267267267267	0.123384848690452
317.617617617618	0.121788336466711
