//1	2	0	1	1	0	0.0	0
//Energy[eV]	XS[cm2]
7.43	1.26E-15
7.44	1.26E-15
7.45	1.27E-15
7.46	1.27E-15
7.47	1.27E-15
7.48	1.27E-15
7.49	1.27E-15
7.5	1.28E-15
7.51	1.28E-15
7.52	1.28E-15
7.53	1.28E-15
7.54	1.29E-15
7.55	1.29E-15
7.56	1.29E-15
7.57	1.29E-15
7.58	1.29E-15
7.59	1.30E-15
7.6	1.30E-15
7.61	1.30E-15
7.62	1.30E-15
7.63	1.31E-15
7.64	1.31E-15
7.65	1.31E-15
7.66	1.31E-15
7.67	1.31E-15
7.68	1.32E-15
7.69	1.32E-15
7.7	1.32E-15
7.71	1.32E-15
7.72	1.32E-15
7.73	1.32E-15
7.74	1.33E-15
7.75	1.33E-15
7.76	1.33E-15
7.77	1.33E-15
7.78	1.33E-15
7.79	1.34E-15
7.8	1.34E-15
7.81	1.34E-15
7.82	1.34E-15
7.83	1.34E-15
7.84	1.34E-15
7.85	1.35E-15
7.86	1.35E-15
7.87	1.35E-15
7.88	1.35E-15
7.89	1.35E-15
7.9	1.35E-15
7.91	1.36E-15
7.92	1.36E-15
7.93	1.36E-15
7.94	1.36E-15
7.95	1.36E-15
7.96	1.36E-15
7.97	1.37E-15
7.98	1.37E-15
7.99	1.37E-15
8	1.37E-15
8.01	1.37E-15
8.02	1.37E-15
8.03	1.37E-15
8.04	1.38E-15
8.05	1.38E-15
8.06	1.38E-15
8.07	1.38E-15
8.08	1.38E-15
8.09	1.38E-15
8.1	1.38E-15
8.11	1.39E-15
8.12	1.39E-15
8.13	1.39E-15
8.14	1.39E-15
8.15	1.39E-15
8.16	1.39E-15
8.17	1.39E-15
8.18	1.40E-15
8.19	1.40E-15
8.2	1.40E-15
8.21	1.40E-15
8.22	1.40E-15
8.23	1.40E-15
8.24	1.40E-15
8.25	1.41E-15
8.26	1.41E-15
8.27	1.41E-15
8.28	1.41E-15
8.29	1.41E-15
8.3	1.41E-15
8.31	1.41E-15
8.32	1.42E-15
8.33	1.42E-15
8.34	1.42E-15
8.35	1.42E-15
8.36	1.42E-15
8.37	1.42E-15
8.38	1.42E-15
8.39	1.42E-15
8.4	1.43E-15
8.41	1.43E-15
8.42	1.43E-15
8.43	1.43E-15
8.44	1.43E-15
8.45	1.43E-15
8.46	1.43E-15
8.47	1.43E-15
8.48	1.43E-15
8.49	1.44E-15
8.5	1.44E-15
8.51	1.44E-15
8.52	1.44E-15
8.53	1.44E-15
8.54	1.44E-15
8.55	1.44E-15
8.56	1.44E-15
8.57	1.44E-15
8.58	1.45E-15
8.59	1.45E-15
8.6	1.45E-15
8.61	1.45E-15
8.62	1.45E-15
8.63	1.45E-15
8.64	1.45E-15
8.65	1.45E-15
8.66	1.45E-15
8.67	1.45E-15
8.68	1.45E-15
8.69	1.46E-15
8.7	1.46E-15
8.71	1.46E-15
8.72	1.46E-15
8.73	1.46E-15
8.74	1.46E-15
8.75	1.46E-15
8.76	1.46E-15
8.77	1.46E-15
8.78	1.46E-15
