//1	2	1	1	0	0	0	0
//Energy [eV]	Elastic XS[cm^2]
0.05793120516595927	1.878234033626751e-16
0.059493818562382686	1.8374555964087037e-16
0.061098581274009946	1.796847762351064e-16
0.06274663021978488	1.75642657815536e-16
0.06443913298545279	1.7162082496485057e-16
0.06617728865075462	1.6762091305154717e-16
0.06796232863893378	1.6364457107043549e-16
0.06979551758915656	1.5969346045242485e-16
0.07167815425246572	1.557692538457656e-16
0.07361157241190046	1.5187363387105453e-16
0.07559714182743565	1.480082918524382e-16
0.07763626920640973	1.4417492652757494e-16
0.07973039920012773	1.4037524273902892e-16
0.08188101542734741	1.3661095010987974e-16
0.08408964152537145	1.3288376170643602e-16
0.08635784222949204	1.2919539269103162e-16
0.0886872244815519	1.2554755896796985e-16
0.09107943856840663	1.2194197582576192e-16
0.09353617929109649	1.1838035657886487e-16
0.09605918716555398	1.1486441121219056e-16
0.09865024965569935	1.113958450316979e-16
0.10131120243979728	1.0797635732441967e-16
0.10404393071097112	1.0460764003130214e-16
0.10685037051279737	1.0129137643624788e-16
0.10973251011092557	9.802923987475709e-17
0.11269239140169583	9.482289246555702e-17
0.11573211135875187	9.167398386858618e-17
0.11885382351867453	8.858415007267401e-17
0.12205973950668773	8.555501221621387e-17
0.12535213060351882	8.258817544407527e-17
0.12873332935452234	7.968522780393956e-17
0.13220573122220802	7.684773918516975e-17
0.13577179628334304	7.407726030324447e-17
0.13943405097183148	7.137532173269058e-17
0.14319508986860544	6.874343299135149e-17
0.147057577539796	6.618308167871693e-17
0.15102425042448658	6.369573267092323e-17
0.1550979187733849	6.128282737490912e-17
0.159281468639789	5.894578304408042e-17
0.16357786392425616	5.668599215770301e-17
0.1679901484744239	5.450482186609825e-17
0.17252144824147134	5.240361350357513e-17
0.17717497349474703	5.0383682170878665e-17
0.1819540210961343	4.8446316388789415e-17
0.18686197683576378	4.659277782435113e-17
0.19190231783072884	4.482430109105436e-17
0.19707861498850315	4.314209362414887e-17
0.2023945355368048	4.154733563210749e-17
0.2078538456217008	4.0041180125112936e-17
0.21346041297579135	3.862475302129399e-17
0.21921820965836467	3.729915333129366e-17
0.22513131486946422	3.606545342161328e-17
0.23120391783986044	3.4924699357045317e-17
0.23744032079897634	3.387791132237864e-17
0.24384494202286838	3.292608412344193e-17
0.25042231896442235	3.20701877674388e-17
0.25717711146798233	3.131116812242474e-17
0.2641141050706889	3.064994765567941e-17
0.27123821439286716	3.0087426250647094e-17
0.27855448661986554	2.96244821020396e-17
0.28606810507781194	2.926197268863394e-17
0.293784392905822	2.900073582324519e-17
0.3017088168272581	2.8841590779313304e-17
0.3098469910227149	2.878533949351366e-17
0.3182046811074721	2.8832767843787277e-17
0.3267878082162334	2.8984647002181634e-17
0.33560245319804677	2.9241734861903647e-17
0.3446548609243747	2.9604777538011256e-17
0.35395144471337087	3.0074510941206447e-17
0.363498790873494	3.0651662424243763e-17
0.37330366336967985	3.133695250053616e-17
0.38337300861537754	3.213109663461686e-17
0.3937139603938422	3.303480710421415e-17
0.4043338449121749	3.4048794933802375e-17
0.41524018599168694	3.517377189961903e-17
0.4264407103982672	3.64104526062755e-17
0.43794335331652984	3.775955663524499e-17
0.44975626397161683	3.922181076568002e-17
0.4618878114026437	4.0797951268198076e-17
0.4743465903918741	4.2488726272476234e-17
0.48714142755382617	4.4294898209710423e-17
0.5002813875886247	4.6217246331232464e-17
0.5137757797040269	4.8256569304826023e-17
0.5276341642106751	5.041368789054981e-17
0.5418663592952464	5.268944769816414e-17
0.5564824479762989	5.5084722028557266e-17
0.5714927852477425	5.76004148018894e-17
0.5869080054149932	6.023746357551449e-17
0.6027390296290122	6.299684265509894e-17
0.6189970736235632	6.58795663027361e-17
0.6356936556611729	6.888669204626029e-17
0.6528406046934225	7.201932409438463e-17
0.6704500687413504	7.527861686273897e-17
0.6885345235019052	7.866577861635194e-17
0.7071067811865475	8.218207523462384e-17
0.7261799995982571	8.58288341053585e-17
0.7457676914533843	8.960744815497887e-17
0.7658837339549405	9.351938002263258e-17
0.7865423786241177	9.756616638651356e-17
0.8077582613969991	1.017494224513731e-16
0.8295464129936156	1.0607084660688229e-16
0.851922269566689	1.1053222526722874e-16
0.8749016836376148	1.1513543790310252e-16
0.898500935327425	1.1988246227802646e-16
0.9227367438906924	1.2477537990184544e-16
0.947626279560545	1.298163817150886e-16
0.9731871757131815	1.350077740188727e-16
0.9994375413605104	1.4035198466602308e-16
1.0263959739797586	1.4585156953015088e-16
1.0540815726891442	1.5150921927055483e-16
1.082513951778936	1.5732776641199766e-16
1.1117132546075088	1.6331019275967235e-16
1.1417001678722078	1.6945963717098447e-16
1.1724959362651675	1.7577940370719394e-16
1.204122377524438	1.822729701894118e-16
1.2366018978910964	1.889439971850154e-16
1.269957507983301	1.9579633745217187e-16
1.3042128390985115	2.0283404587186896e-16
1.3393921599554546	2.1006138989865834e-16
1.375520393887669	2.1748286056318532e-16
1.412623136500823	2.251031840615437e-16
1.4507266738063258	2.3292733396853893e-16
1.4898580008440467	2.409605441140375e-16
1.53004484080738	2.4920832216378005e-16
1.5713156646841642	2.576764639482532e-16
1.6136997114273886	2.663710685854961e-16
1.6572270086699918	2.7529855444602935e-16
1.7019283939983971	2.8446567601037157e-16
1.7478355367998712	2.938795416719019e-16
1.7949809606992044	3.0354763254001463e-16
1.8433980666005607	3.134778223005933e-16
1.8931211563508765	3.2367839819274743e-16
1.9441854570415298	3.3415808316238825e-16
1.996627145965511	3.4492605925453807e-16
2.050483376247799	3.5599199230710096e-16
2.1057923031670502	3.673660580090622e-16
2.1625931111873116	3.7905896938556524e-16
2.220926041718852	3.9108200577078477e-16
2.2808324216278035	4.034470433267894e-16
2.3423546925148373	4.161665871623022e-16
2.4055364407835502	4.292538050990571e-16
2.4704224285199436	4.427225631249282e-16
2.537058625204809	4.565874625615149e-16
2.6054922402815066	4.708638789588746e-16
2.6757717566022463	4.855680027107271e-16
2.74794696477649	5.007168813587608e-16
2.8220689984458986	5.163284635235933e-16
2.898190370510742	5.324216443609572e-16
2.9763650103334673	5.490163123932816e-16
3.0566483019458075	5.661333975069405e-16
3.1390971232864318	5.837949198316754e-16
3.2237698864970223	6.020240391282642e-16
3.3107265793052485	6.208451041999039e-16
3.4000288075239906	6.402837017079754e-16
3.4917398386969523	6.603667036089942e-16
3.5859246469215034	6.811223122307137e-16
3.682649958880607	7.025801017647987e-16
3.7819843011163594	7.247710546628483e-16
3.883998048578666	7.477275910722364e-16
3.98876347448349	7.714835890268007e-16
4.096354801515895	7.960743926013431e-16
4.206848254414285	8.215368046326251e-16
4.320322113972984	8.479090598846641e-16
4.436856772501462	8.752307736717361e-16
4.55653479077954	9.035428599244606e-16
4.679440956548814	9.328874114654465e-16
4.805662344581873	9.63307533821116e-16
4.935288378371755	9.948471222023463e-16
5.068410893485384	1.027550569303569e-15
5.205124202625939	1.0614623892623524e-15
5.345525162450094	1.096626740455076e-15
5.489713242187661	1.1330868267504952e-15
5.637790594112079	1.1708841533832312e-15
5.789862125911763	1.2100576097437336e-15
5.946035575013605	1.2506423471394938e-15
6.106421584911182	1.292668415038845e-15
6.271133783551888	1.3361591146045675e-15
6.44028886383839	1.3811290236950113e-15
6.6140066663015	1.427581643322841e-15
6.792410264003098	1.4755066123609073e-15
6.9756260497290885	1.5248764358519614e-15
7.163783825534371	1.5756426736973994e-15
7.357016894703096	1.6277315422277127e-15
7.555462156189409	1.6810388930987446e-15
7.759260201605685	1.735424554517483e-15
7.968555414826766	1.790706051895196e-15
8.183496074281006	1.846651772013476e-15
8.404234458000392	1.90297370026438e-15
8.63092695150424	1.959319947900597e-15
8.86373415859299	2.0152673980138938e-15
9.102821015130397	2.070314935644223e-15
9.348356905894931	2.1238778859289375e-15
9.600515784583036	2.1752844558872513e-15
9.85947629704927	2.2237751438547184e-15
10.125421907870798	2.2685062194483272e-15
10.398541030325628	2.308558449067227e-15
10.679027159876973	2.3429522003284493e-15
10.967079011258079	2.3706698513837353e-15
11.262900659254715	2.390686010035718e-15
11.566701683285183	2.4020053844259934e-15
11.878697315880007	2.403707251070338e-15
12.199108595166829	2.394994402563664e-15
12.528162521468245	2.3752433588272207e-15
12.866092218123661	2.3440516867668666e-15
13.213137096649213	2.301277722071824e-15
13.569543026352447	2.2470680344927053e-15
13.935562508522327	2.181868752344134e-15
14.311454855317635	2.1064183494755893e-15
14.697486373480634	2.0217215154056005e-15
15.093930553006297	1.9290059463714797e-15
15.501068260900395	1.829665907608786e-15
15.91918794016419	1.7251978516366914e-15
16.34858581414627	1.617133989928604e-15
16.78956609640653	1.5069794511746724e-15
17.242441206241075	1.3961576519165334e-15
17.707531990020357	1.28596702200597e-15
18.18516794849788	1.177550585380079e-15
18.67568747025004	1.0718783815070476e-15
19.179438071412687	9.697415228102172e-16
19.696776641884433	8.717559099514095e-16
20.228069698170664	7.78373266322342e-16
20.773693643047967	6.898971361957465e-16
21.33403503223241	6.065017170858433e-16
21.90949084824089	5.282517625639612e-16
22.500468781639636	4.551222094386851e-16
23.107387519878756	3.870165892991169e-16
23.730677043917964	3.23783640065865e-16
24.370778932853177	2.6523182023796274e-16
25.028146676759977	2.1114164376381095e-16
25.70324599797583	1.6127590299237417e-16
26.39655518104808	1.1538794174243618e-16
27.1085654115822	7.322819233274749e-17
27.83978112422976	3.4549211002785064e-17
28.590720360062853	-8.905545702702982e-19
29.361915133588504	-3.3324046096493723e-17
30.15391180966234	-6.297372592458392e-17
30.967271490569413	-9.005038575828755e-17
31.802570413545713	-1.1475248533475962e-16
32.660400359022226	-1.3726589778120723e-16
33.54136906988118	-1.5776396037151648e-16
34.44610068202057	-1.7640774875065251e-16
35.375236166533185	-1.9334650928287602e-16
36.32943378381232	-2.0871819812375157e-16
37.30936954990645	-2.2265008714692476e-16
38.31573771545349	-2.3525940626001356e-16
39.349251257533105	-2.4665399921826674e-16
40.41064238478658	-2.569329760772185e-16
41.500663056161265	-2.6618735017878776e-16
42.62008551364736	-2.745006512708061e-16
43.76970282938501	-2.8194950921697205e-16
44.95032946752814	-2.886042049308006e-16
46.162801861264505	-2.9452918680297554e-16
47.407979005399575	-2.9978355210119025e-16
48.68674306492452	-3.044214936982051e-16
49.99999999999999	-3.0849271310243667e-16
