//1	2	1	1	0	0	0	0
//Energy [eV]	Trasnport XS[cm^2]
0.3017088168272581	1.4950493958871298e-17
0.3098469910227149	1.6092846946440882e-17
0.3182046811074721	1.733438849643477e-17
0.3267878082162334	1.8673839434326283e-17
0.33560245319804677	2.0109840284620102e-17
0.3446548609243747	2.1640955396083362e-17
0.35395144471337087	2.3265677437746212e-17
0.363498790873494	2.4982432261698205e-17
0.37330366336967985	2.6789584127092992e-17
0.38337300861537754	2.868544127818726e-17
0.3937139603938422	3.066826186765239e-17
0.4043338449121749	3.2736260214905215e-17
0.41524018599168694	3.4887613387719897e-17
0.4264407103982672	3.7120468094034395e-17
0.43794335331652984	3.9432947869571714e-17
0.44975626397161683	4.182316054574338e-17
0.4618878114026437	4.428920598126226e-17
0.4743465903918741	4.682918404000991e-17
0.48714142755382617	4.944120279696187e-17
0.5002813875886247	5.2123386953436634e-17
0.5137757797040269	5.4873886442527354e-17
0.5276341642106751	5.769088520542444e-17
0.5418663592952464	6.057261011932559e-17
0.5564824479762989	6.351734005788413e-17
0.5714927852477425	6.652341506556285e-17
0.5869080054149932	6.958924562793209e-17
0.6027390296290122	7.271332202082335e-17
0.6189970736235632	7.589422372234603e-17
0.6356936556611729	7.913062887306761e-17
0.6528406046934225	8.24213237712147e-17
0.6704500687413504	8.576521239143131e-17
0.6885345235019052	8.916132591761471e-17
0.7071067811865475	9.26088322824116e-17
0.7261799995982571	9.61070457082987e-17
0.7457676914533843	9.965543624762794e-17
0.7658837339549405	1.0325363932162743e-16
0.7865423786241177	1.0690146526116142e-16
0.8077582613969991	1.1059890885491208e-16
0.8295464129936156	1.1434615891372712e-16
0.851922269566689	1.1814360786294677e-16
0.8749016836376148	1.2199186137780979e-16
0.898500935327425	1.2589174808029236e-16
0.9227367438906924	1.2984432931912512e-16
0.947626279560545	1.3385090905814645e-16
0.9731871757131815	1.379130439015978e-16
0.9994375413605104	1.4203255328846092e-16
1.0263959739797586	1.4621152989141104e-16
1.0540815726891442	1.50452350259477e-16
1.082513951778936	1.5475768574694165e-16
1.1117132546075088	1.5913051377450258e-16
1.1417001678722078	1.6357412947208586e-16
1.1724959362651675	1.6809215775607092e-16
1.204122377524438	1.7268856589694546e-16
1.2366018978910964	1.7736767663656268e-16
1.269957507983301	1.8213418191725104e-16
1.3042128390985115	1.8699315728783648e-16
1.3393921599554546	1.9195007705440236e-16
1.375520393887669	1.9701083024599143e-16
1.412623136500823	2.0218173746762633e-16
1.4507266738063258	2.0746956871478414e-16
1.4898580008440467	2.1288156222478956e-16
1.53004484080738	2.1842544444133636e-16
1.5713156646841642	2.2410945116845284e-16
1.6136997114273886	2.2994234998942213e-16
1.6572270086699918	2.3593346402443025e-16
1.7019283939983971	2.4209269709767844e-16
1.7478355367998712	2.484305603801177e-16
1.7949809606992044	2.549582005676587e-16
1.8433980666005607	2.6168742964602883e-16
1.8931211563508765	2.6863075628222674e-16
1.9441854570415298	2.758014188679866e-16
1.996627145965511	2.83213420222253e-16
2.050483376247799	2.908815639366572e-16
2.1057923031670502	2.988214923193259e-16
2.1625931111873116	3.0704972585717027e-16
2.220926041718852	3.1558370407360225e-16
2.2808324216278035	3.244418276062148e-16
2.3423546925148373	3.336435012652953e-16
2.4055364407835502	3.432091777574656e-16
2.4704224285199436	3.5316040166670663e-16
2.537058625204809	3.63519853174845e-16
2.6054922402815066	3.7431139087249077e-16
2.6757717566022463	3.855600928555966e-16
2.74794696477649	3.9729229511835223e-16
2.8220689984458986	4.095356260360732e-16
2.898190370510742	4.2231903547631333e-16
2.9763650103334673	4.3567281677813786e-16
3.0566483019458075	4.496286194919045e-16
3.1390971232864318	4.642194503690329e-16
3.2237698864970223	4.794796596268129e-16
3.3107265793052485	4.954449089810349e-16
3.4000288075239906	5.121521173331109e-16
3.4917398386969523	5.296393793138156e-16
3.5859246469215034	5.479458511194099e-16
3.682649958880607	5.671115972274975e-16
3.7819843011163594	5.871773906528242e-16
3.883998048578666	6.081844584069617e-16
3.98876347448349	6.301741627773942e-16
4.096354801515895	6.531876079691761e-16
4.206848254414285	6.772651605977789e-16
4.320322113972984	7.02445871545006e-16
4.436856772501462	7.287667858736658e-16
4.55653479077954	7.562621269514013e-16
4.679440956548814	7.849623408021348e-16
4.805662344581873	8.148929871676165e-16
4.935288378371755	8.46073465042982e-16
5.068410893485384	8.785155628171777e-16
5.205124202625939	9.122218269082978e-16
5.345525162450094	9.471837482783545e-16
5.489713242187661	9.833797737981162e-16
5.637790594112079	1.0207731594574655e-15
5.789862125911763	1.0593096951694709e-15
5.946035575013605	1.0989153465699838e-15
6.106421584911182	1.1394938777429717e-15
6.271133783551888	1.1809245398814256e-15
6.44028886383839	1.2230599337928243e-15
6.6140066663015	1.265724177620277e-15
6.792410264003098	1.3087115333079936e-15
6.9756260497290885	1.3517856636577133e-15
7.163783825534371	1.3946797031473559e-15
7.357016894703096	1.4370973263943747e-15
7.555462156189409	1.4787149844853848e-15
7.759260201605685	1.519185447958109e-15
7.968555414826766	1.5581427436315788e-15
8.183496074281006	1.5952085001419585e-15
8.404234458000392	1.6299996258939892e-15
8.63092695150424	1.662137138212497e-15
8.86373415859299	1.6912558520681254e-15
9.102821015130397	1.7170145319879914e-15
9.348356905894931	1.7391060245488024e-15
9.600515784583036	1.757266834109604e-15
9.85947629704927	1.7712855919847352e-15
10.125421907870798	1.781009905600226e-15
10.398541030325628	1.786351159841167e-15
10.679027159876973	1.787286971537321e-15
10.967079011258079	1.7838611573077818e-15
11.262900659254715	1.7761812476650082e-15
11.566701683285183	1.7644137473102268e-15
11.878697315880007	1.7487774849952e-15
12.199108595166829	1.7295355021241838e-15
12.528162521468245	1.7069859891670543e-15
12.866092218123661	1.6814527912274138e-15
13.213137096649213	1.6532759730785682e-15
13.569543026352447	1.6228028685675983e-15
13.935562508522327	1.5903799510302332e-15
14.311454855317635	1.5563457623638952e-15
14.697486373480634	1.5210250396331368e-15
15.093930553006297	1.48472408817197e-15
15.501068260900395	1.4477273748868628e-15
15.91918794016419	1.4102952577855589e-15
16.34858581414627	1.3726627281410873e-15
16.78956609640653	1.3350390187910887e-15
17.242441206241075	1.2976079233521084e-15
17.707531990020357	1.2605286735182858e-15
18.18516794849788	1.2239372319719501e-15
18.67568747025004	1.1879478738751103e-15
19.179438071412687	1.152654948010525e-15
19.696776641884433	1.1181347275045095e-15
20.228069698170664	1.0844472783241652e-15
20.773693643047967	1.05163829050186e-15
21.33403503223241	1.0197408317888164e-15
21.90949084824089	9.887769959628195e-16
22.500468781639636	9.587594283098676e-16
23.107387519878756	9.296927190038186e-16
23.730677043917964	9.01574661439415e-16
24.370778932853177	8.743973772902503e-16
25.028146676759977	8.481483134290682e-16
25.70324599797583	8.228111181152647e-16
26.39655518104808	7.983664052534378e-16
27.1085654115822	7.74792416255807e-16
27.83978112422976	7.520655892695263e-16
28.590720360062853	7.30161045394902e-16
