0.29 1.1363 0.29 0.51156 0.435 0.35 0.58 0.21313 0.58 0.16066 0.58 0.1315 0.58 0.11263 0.58 0.099294 0.58 0.089468 0.58 0.082443 0.58 0.077834 0.58 0.07509 0.58 0.07359 0.58 0.072832 0.58 0.072482 0.58 0.07234 0.58 0.072293 0.58 0.072281 0.58 0.07225 0.58 0.072147 
0.3 1.1362 0.3 0.51156 0.45 0.34999 0.6 0.21312 0.6 0.16066 0.6 0.1315 0.6 0.11263 0.6 0.099293 0.6 0.089467 0.6 0.08244 0.6 0.077829 0.6 0.075081 0.6 0.073578 0.6 0.072818 0.6 0.072467 0.6 0.072324 0.6 0.072276 0.6 0.072264 0.6 0.072233 0.6 0.072131 
0.31 1.1361 0.31 0.51155 0.465 0.34997 0.62 0.21311 0.62 0.16066 0.62 0.1315 0.62 0.11263 0.62 0.099293 0.62 0.089466 0.62 0.082437 0.62 0.077823 0.62 0.075072 0.62 0.073566 0.62 0.072804 0.62 0.072451 0.62 0.072307 0.62 0.072259 0.62 0.072246 0.62 0.072214 0.62 0.072113 
0.32 1.1361 0.32 0.51155 0.48 0.34996 0.64 0.21309 0.64 0.16065 0.64 0.13149 0.64 0.11263 0.64 0.099292 0.64 0.089465 0.64 0.082434 0.64 0.077817 0.64 0.075063 0.64 0.073553 0.64 0.072788 0.64 0.072433 0.64 0.072288 0.64 0.072239 0.64 0.072226 0.64 0.072195 0.64 0.072094 
0.33 1.1359 0.33 0.51154 0.495 0.34994 0.66 0.21308 0.66 0.16065 0.66 0.13149 0.66 0.11262 0.66 0.099291 0.66 0.089463 0.66 0.082431 0.66 0.077811 0.66 0.075053 0.66 0.07354 0.66 0.072772 0.66 0.072415 0.66 0.072269 0.66 0.072219 0.66 0.072205 0.66 0.072174 0.66 0.072073 
0.34 1.1358 0.34 0.51154 0.51 0.34992 0.68 0.21307 0.68 0.16064 0.68 0.13149 0.68 0.11262 0.68 0.09929 0.68 0.089462 0.68 0.082428 0.68 0.077804 0.68 0.075042 0.68 0.073526 0.68 0.072755 0.68 0.072396 0.68 0.072248 0.68 0.072197 0.68 0.072183 0.68 0.072152 0.68 0.072052 
0.35 1.1356 0.35 0.51153 0.525 0.34989 0.7 0.21305 0.7 0.16064 0.7 0.13149 0.7 0.11262 0.7 0.099289 0.7 0.08946 0.7 0.082424 0.7 0.077797 0.7 0.075031 0.7 0.073511 0.7 0.072737 0.7 0.072376 0.7 0.072226 0.7 0.072175 0.7 0.07216 0.7 0.072128 0.7 0.072029 
0.36 1.1354 0.36 0.51152 0.54 0.34986 0.72 0.21303 0.72 0.16063 0.72 0.13148 0.72 0.11262 0.72 0.099288 0.72 0.089459 0.72 0.08242 0.72 0.077789 0.72 0.075019 0.72 0.073495 0.72 0.072718 0.72 0.072354 0.72 0.072203 0.72 0.07215 0.72 0.072135 0.72 0.072103 0.72 0.072004 
0.37 1.1352 0.37 0.51151 0.555 0.34983 0.74 0.21301 0.74 0.16063 0.74 0.13148 0.74 0.11262 0.74 0.099287 0.74 0.089457 0.74 0.082416 0.74 0.077781 0.74 0.075007 0.74 0.073479 0.74 0.072698 0.74 0.072332 0.74 0.072179 0.74 0.072125 0.74 0.072109 0.74 0.072077 0.74 0.071978 
0.38 1.1349 0.38 0.51149 0.57 0.34979 0.76 0.21298 0.76 0.16062 0.76 0.13148 0.76 0.11262 0.76 0.099286 0.76 0.089455 0.76 0.082412 0.76 0.077773 0.76 0.074994 0.76 0.073462 0.76 0.072678 0.76 0.072309 0.76 0.072154 0.76 0.072099 0.76 0.072082 0.76 0.072049 0.76 0.071951 
